comunidad,encuestas_totales,encuestas_cubiertas,encuestas_incompletas,porcentaje,total_centros
Andalucía,536,331,205,61.75373134328358,9
Aragón,1038,673,365,64.83622350674374,6
Principado de Asturias,104,97,7,93.26923076923077,3
Canarias,65,48,17,73.84615384615384,3
Cantabria,701,546,155,77.88873038516405,3
Castilla y león,2606,1957,649,75.09593246354567,14
Castilla-La Mancha,2100,1245,855,59.285714285714285,11
Ceuta,1233,955,278,77.45336577453365,7
Comunidad Foral de Navarra,53,39,14,73.58490566037736,1
Comunidad Valenciana,2485,1561,924,62.816901408450704,8
Extremadura,299,166,133,55.51839464882943,3
Islas Baleares,41,38,3,92.6829268292683,1
La Rioja,2180,1710,470,78.44036697247707,6
Comunidad de Madrid,1434,1149,285,80.1255230125523,13
Melilla,872,507,365,58.142201834862384,3
País Vasco,720,552,168,76.66666666666667,2
Región de Murcia,836,488,348,58.3732057416268,1
