comunidad,encuestas_totales,encuestas_cubiertas,encuestas_incompletas,porcentaje,total_centros
Totales,40859,28991,11868,70.95376783572775,253
ANDALUCÍA,2520,1835,685,72.81746031746032,33
ARAGÓN,2117,1486,631,70.1936702881436,16
CANARIAS,379,282,97,74.40633245382585,6
CANTABRIA,1023,794,229,77.61485826001955,7
CASTILLA Y LEÓN,3389,2403,986,70.90587193862497,18
CASTILLA-LA MANCHA,3213,2081,1132,64.76812947401183,16
CATALUÑA,2619,1800,819,68.72852233676976,30
CEUTA,1389,1088,301,78.3297336213103,8
COMUNIDAD DE MADRID,4454,3208,1246,72.0251459362371,23
COMUNIDAD FORAL DE NAVARRA,596,394,202,66.10738255033557,8
COMUNIDAD VALENCIANA,3425,2225,1200,64.96350364963503,12
EXTREMADURA,1474,1006,468,68.24966078697422,12
GALICIA,846,673,173,79.55082742316785,5
ISLAS BALEARES,794,601,193,75.6926952141058,7
LA RIOJA,2424,1889,535,77.92904290429043,7
MELILLA,1465,1012,453,69.07849829351535,4
PAÍS VASCO,5558,3814,1744,68.62180640518172,21
PRINCIPADO DE ASTURIAS,741,642,99,86.63967611336032,9
REGIÓN DE MURCIA,2433,1758,675,72.25647348951911,11
