Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9
CEIP PEDRO DE ESTOPIÑÁN,Primaria,296259,221,62,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,159
CEIP PEDRO DE ESTOPIÑÁN,Secundaria,235855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP PEDRO DE ESTOPIÑÁN,Profesorado,953785,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
IES JUAN ANTONIO FERNÁNDEZ,Primaria,193835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES JUAN ANTONIO FERNÁNDEZ,Secundaria,736541,428,362,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,66
IES JUAN ANTONIO FERNÁNDEZ,Profesorado,596317,51,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23
CEIP Eduardo González Gallarza,Primaria,129914,129,115,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,14
CEIP Eduardo González Gallarza,Secundaria,628272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP Eduardo González Gallarza,Profesorado,231888,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
CEIP EL VELLON ,Primaria,832624,28,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
CEIP EL VELLON ,Secundaria,728488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP EL VELLON ,Profesorado,862875,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CEIP BUENAVENTURA GONZALEZ,Primaria,347774,147,125,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,22
CEIP BUENAVENTURA GONZALEZ,Secundaria,281224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP BUENAVENTURA GONZALEZ,Profesorado,353899,24,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13
IES LOS NAVALMORALES,Primaria,697639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES LOS NAVALMORALES,Secundaria,877126,52,43,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9
IES LOS NAVALMORALES,Profesorado,887698,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
IES ANDRÉS LAGUNA,Primaria,523743,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IES ANDRÉS LAGUNA,Secundaria,774928,285,155,130,9,3,2,0,0,0,0,0,1,0,0,0,0,0,7,4,5,2,131,121
IES ANDRÉS LAGUNA,Profesorado,161185,42,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17
CEIP ÁLVAR FÁÑEZ,Primaria,487768,140,97,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,43
CEIP ÁLVAR FÁÑEZ,Secundaria,387841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP ÁLVAR FÁÑEZ,Profesorado,239525,40,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18
CPrFP EDÉN,Primaria,228768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPrFP EDÉN,Secundaria,659581,56,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7
CPrFP EDÉN,Profesorado,498768,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
