Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9,Nuevas Completas D-10,Nuevas Parciales D-10,Nuevas Completas D-11,Nuevas Parciales D-11,Nuevas Completas D-12,Nuevas Parciales D-12,Nuevas Completas D-13,Nuevas Parciales D-13,Nuevas Completas D-14,Nuevas Parciales D-14,Nuevas Completas D-15,Nuevas Parciales D-15,Nuevas Completas D-16,Nuevas Parciales D-16,Nuevas Completas D-17,Nuevas Parciales D-17,Nuevas Completas D-18,Nuevas Parciales D-18,Nuevas Completas D-19,Nuevas Parciales D-19,Nuevas Completas D-20,Nuevas Parciales D-20,Nuevas Completas D-21,Nuevas Parciales D-21,Nuevas Completas D-22,Nuevas Parciales D-22,Nuevas Completas D-23,Nuevas Parciales D-23,Nuevas Completas D-24,Nuevas Parciales D-24,Nuevas Completas D-25,Nuevas Parciales D-25,Nuevas Completas D-26,Nuevas Parciales D-26,Nuevas Completas D-27,Nuevas Parciales D-27,Nuevas Completas D-28,Nuevas Parciales D-28,Nuevas Completas D-29,Nuevas Parciales D-29
CEIP PEDRO DE ESTOPIÑÁN,Primaria,296259,221,62,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP PEDRO DE ESTOPIÑÁN,Secundaria,235855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP PEDRO DE ESTOPIÑÁN,Profesorado,953785,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES JUAN ANTONIO FERNÁNDEZ,Primaria,193835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES JUAN ANTONIO FERNÁNDEZ,Secundaria,736541,428,362,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES JUAN ANTONIO FERNÁNDEZ,Profesorado,596317,51,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP Eduardo González Gallarza,Primaria,129914,129,115,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP Eduardo González Gallarza,Secundaria,628272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP Eduardo González Gallarza,Profesorado,231888,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP EL VELLON ,Primaria,832624,28,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
