Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas Ayer,Nuevas Parciales Ayer,Nuevas Completas Anteayer,Nuevas Parciales Anteayer
IES ANDRÉS LAGUNA,Primaria,523743,1,0,1,0,0,0,1,,
IES ANDRÉS LAGUNA,Secundaria,774928,273,146,127,15,6,131,121,,
IES ANDRÉS LAGUNA,Profesorado,161185,42,25,17,0,0,25,17,,
CEIP ÁLVAR FÁÑEZ,Primaria,487768,140,97,43,0,0,97,43,,
CEIP ÁLVAR FÁÑEZ,Secundaria,387841,0,0,0,0,0,0,0,,
CEIP ÁLVAR FÁÑEZ,Profesorado,239525,40,22,18,0,0,22,18,,
CPrFP EDÉN,Primaria,228768,0,0,0,0,0,0,0,,
CPrFP EDÉN,Profesorado,498768,10,7,3,0,0,7,3,,
CPEIPS IRUNGO LA SALLE HLBHIP,Primaria,342995,140,98,42,52,4,46,38,,
CPEIPS IRUNGO LA SALLE HLBHIP,Secundaria,524719,879,389,490,78,7,311,483,,
CPEIPS IRUNGO LA SALLE HLBHIP,Profesorado,596771,32,15,17,0,1,15,16,,
CPIFP Somorrostro LHIPI,Primaria,496382,0,0,0,0,0,0,0,,
CPIFP Somorrostro LHIPI,Secundaria,225273,753,481,272,75,35,406,237,,
CPIFP Somorrostro LHIPI,Profesorado,953219,23,15,8,2,2,13,6,,
CIFP NAÚTICO PESQUERA DE BERMEO,Primaria,776777,0,0,0,0,0,0,0,,
CIFP NAÚTICO PESQUERA DE BERMEO,Secundaria,861441,36,22,14,0,0,22,14,,
CIFP NAÚTICO PESQUERA DE BERMEO,Profesorado,174235,11,11,0,0,0,11,0,,
CPIFP MARISTAK DURANGO LHIPI,Primaria,614128,0,0,0,0,0,0,0,,
CPIFP MARISTAK DURANGO LHIPI,Secundaria,368886,120,109,11,42,3,67,8,,
CPIFP MARISTAK DURANGO LHIPI,Profesorado,824571,37,29,8,6,1,23,7,,
ESCOLA GUINARDÓ,Primaria,456676,123,100,23,0,0,100,23,,
ESCOLA GUINARDÓ,Secundaria,288541,337,114,223,0,0,114,223,,
ESCOLA GUINARDÓ,Profesorado,232496,17,10,7,0,0,10,7,,
NSTITUT CAN VILURAMA,Primaria,412365,0,0,0,0,0,0,0,,
NSTITUT CAN VILURAMA,Secundaria,957493,509,333,176,0,2,333,174,,
NSTITUT CAN VILURAMA,Profesorado,924226,34,17,17,0,0,17,17,,
CPEIPS Sagrado Corazón HLBHIP,Primaria,186744,185,96,89,0,1,96,88,,
CPEIPS Sagrado Corazón HLBHIP,Secundaria,957293,271,115,156,1,1,114,155,,
CPEIPS Sagrado Corazón HLBHIP,Profesorado,696531,19,10,9,0,0,10,9,,
CPEIPS LA SALLE HLBHIP DONOSTIA,Primaria,696318,0,0,0,0,0,0,0,,
CPEIPS LA SALLE HLBHIP DONOSTIA,Secundaria,356813,408,316,92,131,46,185,46,,
CPEIPS LA SALLE HLBHIP DONOSTIA,Profesorado,993927,9,7,2,0,0,7,2,,
CEIP NUESTRA SEÑORA DEL ROSARIO,Primaria,126459,0,0,0,0,0,0,0,,
CEIP NUESTRA SEÑORA DEL ROSARIO,Secundaria,751784,0,0,0,0,0,0,0,,
CEIP NUESTRA SEÑORA DEL ROSARIO,Profesorado,143391,0,0,0,0,0,0,0,,
CPI PARQUE VENECIA,Primaria,852451,79,71,8,0,0,71,8,,
CPI PARQUE VENECIA,Secundaria,255873,0,0,0,0,0,0,0,,
CPI PARQUE VENECIA,Profesorado,578862,12,7,5,2,0,5,5,,
