CCAA,Realizadas Primaria,Realizadas Secundaria,Realizadas Profesorado,Realizadas Total
Totales,21424,66152,7385,94961
ANDALUCÍA,1836,4392,435,6663
ARAGÓN,1124,2266,358,3748
CANARIAS,243,1465,196,1904
CANTABRIA,426,1034,190,1650
CASTILLA Y LEÓN,1570,4139,694,6403
CASTILLA-LA MANCHA,947,3496,473,4916
CATALUÑA,2670,11689,879,15238
CEUTA,464,965,130,1559
COMUNIDAD DE MADRID,2128,3978,576,6682
COMUNIDAD FORAL DE NAVARRA,378,1562,131,2071
COMUNIDAD VALENCIANA,2719,7614,754,11087
EXTREMADURA,952,1261,256,2469
GALICIA,924,2965,290,4179
ISLAS BALEARES,405,2779,332,3516
LA RIOJA,512,2599,355,3466
MELILLA,606,1279,140,2025
PAÍS VASCO,2003,7436,599,10038
PRINCIPADO DE ASTURIAS,448,1392,168,2008
REGIÓN DE MURCIA,1069,3841,429,5339
